conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1795750680403337309,Wed May 29 09:35:00 +0000 2024,10,Tak Hanya Dibuntuti Ini Sederet Ancaman Yang Diterima Kejagung Saat Bongkar Korupsi Timah https://t.co/KH2ZrxthKT,1795750680403337309,,,in,Indonesia,0,2,7,https://x.com/democrazymedia/status/1795750680403337309,1243804423001763841,democrazymedia
1795338080838377809,Wed May 29 09:19:40 +0000 2024,0,@TheCurut007 Kok kerugian korupsi timah 271 T dan yang lainnya gak di hitung,1795746823103295856,,TheCurut007,in,"DKI Jakarta, Indonesia",0,0,0,https://x.com/Sima1Syaifuddin/status/1795746823103295856,1627137208468779010,Sima1Syaifuddin
1795746546585403788,Wed May 29 09:18:34 +0000 2024,1,Fakta terbaru dari kasus korupsi timah ternyata bukanlah 271 triliun. Hasil audit Badan Pengawasan Keuangan Pemerintah (BPKP) diketahui kerugian negara yang ditimbulkan dalam korupsi timah tersebut mencapai 300 triliun https://t.co/kk07S8w0m8,1795746546585403788,,,in,Indonesia,0,0,0,https://x.com/masibin_/status/1795746546585403788,1223269436485820416,masibin_
1795744675799900541,Wed May 29 09:11:08 +0000 2024,35,Kejagung meralat jumlah total kerugian akibat perkara dugaan korupsi tata niaga timah wilayah Izin Usaha Pertambangan (IUP) PT Timah Tbk dari semula Rp271 triliun menjadi Rp300 triliun. Hal itu berdasarkan temuan hasil audit Badan Pengawasan Keuangan dan Pembangunan (BPKP). https://t.co/4sKbrqgTQd,1795744675799900541,https://pbs.twimg.com/media/GOvEA6UagAAjLeu.jpg,,in,Jakarta Capital Region,2,4,7,https://x.com/asumsico/status/1795744675799900541,829366551446818816,asumsico
1795744531742433719,Wed May 29 09:10:34 +0000 2024,2,Kasus Korupsi Timah Jerat 21 Orang Tersangka Kerugian Capai Rp217 Triliun - Sindo Siang 29/05 https://t.co/RDyZn37UAM,1795744531742433719,,,in,"Jakarta Pusat, DKI Jakarta",0,1,0,https://x.com/SINDOnews/status/1795744531742433719,231355136,SINDOnews
1795744480815108420,Wed May 29 09:10:22 +0000 2024,1,Jaksa Agung Sebut Kasus Korupsi Timah Segera Disidangkan #newsupdate #update #news #text https://t.co/sRy7NEPK83,1795744480815108420,,,in,,0,1,1,https://x.com/kumparan/status/1795744480815108420,759692754985242625,kumparan
1795716502609609102,Wed May 29 09:07:54 +0000 2024,2,@5teV3n_Pe9eL BPKP Jelaskan Rincian Kerugian Negara Rp300 Triliun di Kasus Korupsi Timah https://t.co/L8TN1KLXtg,1795743860934729913,,5teV3n_Pe9eL,in,iNews Tower,0,0,1,https://x.com/officialinews_/status/1795743860934729913,132078023,officialinews_
1795743423032602751,Wed May 29 09:06:10 +0000 2024,0,Indonesia negara hukum Tapi aparat anti teror meneror Jaksa yg bongkar kasus korupsi timah. Itulah Indonesia. https://t.co/CCaIufG5nQ,1795743423032602751,,,in,Indonesia bkn Negara Komunis ,0,0,0,https://x.com/ForRezim/status/1795743423032602751,1482600556669460485,ForRezim
1795742293976330318,Wed May 29 09:01:40 +0000 2024,0,Jagung sebut Kerugian Negara Dalam Kasus Korupsi di PT Timah Capai Rp300 Triliun https://t.co/HBjUe8y4yw,1795742293976330318,,,in,"West Borneo, Indonesia",0,0,0,https://x.com/PontianakWarta/status/1795742293976330318,1321076501802987525,PontianakWarta
1795741695130431898,Wed May 29 08:59:18 +0000 2024,0,Jaksa Agung St Burhanuddin menyebut kerugian negara dalam perkara dugaan tindak pidana korupsi tata niaga timah wilayah IUP PT Timah Tbk tahun 2015 hingga 2022 berdasarkan hasil audit BPKP mencapai Rp300 triliun. Selengkapnya: https://t.co/2olRCFYGc2 #BPKP https://t.co/Qh4fs6cchv,1795741695130431898,https://pbs.twimg.com/media/GOvA180bQAE4w0H.jpg,,in,Jakarta,0,0,0,https://x.com/KATADATAcoid/status/1795741695130431898,552523769,KATADATAcoid
1795741444013257164,Wed May 29 08:58:18 +0000 2024,1,Jaksa Agung: Kerugian Negara akibat Korupsi Timah Rp300 Triliun! Mau tau penjelasan lengkapnya? Yuk baca informasinya di https://t.co/knaa7gNgx7 #BonusDemografi #IndonesiaEmas2045 #JaksaAgung #STBurhanuddin https://t.co/VxHQvyB8DF,1795741444013257164,,,in,DKI Jakarta,0,0,0,https://x.com/faktacom_/status/1795741444013257164,1664572693180747777,faktacom_
1795741107235811622,Wed May 29 08:56:57 +0000 2024,0,Kerugian Negara Kasus Korupsi Timah Naik Jadi Rp 300 T Segera Dilimpahkan ke Pengadilan https://t.co/6Yy6IHX3XI,1795741107235811622,,,in,,0,0,0,https://x.com/nusantara_kini/status/1795741107235811622,1720094652534263808,nusantara_kini
1795740963177934977,Wed May 29 08:56:23 +0000 2024,0,Ini Peran Mantan Dirjen Minerba pada Kasus Korupsi Timah https://t.co/0IIpPQu3J7 https://t.co/0IIpPQu3J7,1795740963177934977,,,in,indonesia,0,0,0,https://x.com/posaktualcom/status/1795740963177934977,1636627729675337734,posaktualcom
1795740846773654007,Wed May 29 08:55:55 +0000 2024,0,Kejaksaan Agung mengungkap bahwa kerugian kasus pertambangan PT Timah mencapai Rp. 300 triliun. https://t.co/gZq90AuiOd #mediadigitalcpp #indotvlive #jaksaagung #timah #korupsi #sandradewi https://t.co/y5F2gYuT8s,1795740846773654007,https://pbs.twimg.com/ext_tw_video_thumb/1795740711347986432/pu/img/B2fEfy9sGv22JPRx.jpg,,in,,0,0,0,https://x.com/mediadigitalcpp/status/1795740846773654007,1274996555909525504,mediadigitalcpp
1795740258375774244,Wed May 29 08:53:35 +0000 2024,11,Kerugian Negara Akibat Korupsi Timah Capai Rp 300 T Siapa yang Harus Bayar? #newsupdate #update #news #text https://t.co/bCBPYRSNSm,1795740258375774244,,,in,,1,10,7,https://x.com/kumparan/status/1795740258375774244,759692754985242625,kumparan
1795739766211879247,Wed May 29 08:51:38 +0000 2024,0,Helena Lim dan Suami Sandra Dewi Jadi Tersangka Pencucian Uang Korupsi Timah https://t.co/GffLI0Nk74 https://t.co/JoqbxnCv36,1795739766211879247,https://pbs.twimg.com/media/GOu_zRHaEAEuivR.jpg,,in,KM50,0,0,0,https://x.com/JengKanq/status/1795739766211879247,1342905759130996737,JengKanq
1795739506639053181,Wed May 29 08:50:36 +0000 2024,0,Hasil Koreksi Korupsi Timah Rugikan Negara Rp300 Triliun Lebih https://t.co/K6F9Q5PRp0 #Hukum,1795739506639053181,,,in,Pekanbaru Riau,0,0,0,https://x.com/GoRiauCom/status/1795739506639053181,1632918924,GoRiauCom
1795672917541343317,Wed May 29 08:50:25 +0000 2024,13,@detikcom Tapi lebih bnyak kerugian korupsi timah https://t.co/cpWM4TgiAg,1795739460870779114,,detikcom,in,Indonesia,0,1,1,https://x.com/negativisme/status/1795739460870779114,43486890,negativisme
1795714822455337000,Wed May 29 08:49:51 +0000 2024,3,@Heraloebss @prabowo Kasus timah..dan kasus kasus korupsi lain yg tersembunyi dan disembunyikan,1795739318570643548,,Heraloebss,in,"bandung,JaBar",0,0,0,https://x.com/mulukabdulkuku/status/1795739318570643548,1453781084,mulukabdulkuku
1795739093311361187,Wed May 29 08:48:57 +0000 2024,1,Busettt ternyata kerugian akibat korupsi timah ini jauh lebih gede dari yg sebelumnya diumumkan gimana kagak bikin negara bangkrut? https://t.co/pVXcChglQr,1795739093311361187,https://pbs.twimg.com/media/GOu_MFPaoAEEowx.jpg,,in,Indonesia,3,3,1,https://x.com/negativisme/status/1795739093311361187,43486890,negativisme
1795738980283219995,Wed May 29 08:48:30 +0000 2024,1,BPKP Beber Rincian Kerugian Korupsi Timah Rp 300 T: Dari Biji Timah Ilegal Hingga Kerusakan Lingkungan - https://t.co/dUdgYSS0H7 https://t.co/7ZOxtbOnNQ,1795738980283219995,https://pbs.twimg.com/media/GOu_FeebUAEYdi2.jpg,,in,"Jakarta Selatan, DKI Jakarta",0,0,0,https://x.com/smartizen_/status/1795738980283219995,2714691272,smartizen_
1795738714699960378,Wed May 29 08:47:27 +0000 2024,1,@KejaksaanRI @PDI_Perjuangan @Gerindra @PartaiGolkar @psi_id @DPPNasDem @jokowi @mohmahfudmd @TjahjantoHadi Kerugian Negara di korupsi Timah jadi Rp. 300 Triliun. Partai partai masih juga ga meng golkan UU Perampasan Asset ? Biar koruptor pd jera.,1795738714699960378,,KejaksaanRI,in,"East Denpasar, Indonesia",0,0,1,https://x.com/ini_tukangojek/status/1795738714699960378,749968962717310977,ini_tukangojek
1795737582091096568,Wed May 29 08:42:57 +0000 2024,15,Perampok di negara ini makin brutal. Kirain nilai korupsi timah cuma 271 T ternyata nilainya 300 T (data BPKP). Kejagung : 300 triliun itu angka real kerugian negara bukan potensi. https://t.co/6JCSyT5tqI,1795737582091096568,https://pbs.twimg.com/media/GOu9z36aQAAcimg.jpg,,in,,0,1,7,https://x.com/PelatihT1dur/status/1795737582091096568,1400896654820085760,PelatihT1dur
1795737142284685687,Wed May 29 08:41:12 +0000 2024,37,BREAKING NEWS...!!! Total kerugian negara akibat kasus korupsi timah sebesar Rp 300 Triliun pemirzzaahhh... https://t.co/uRQtU0gnDh,1795737142284685687,https://pbs.twimg.com/ext_tw_video_thumb/1795736571892953088/pu/img/H0zLxxZyOl7gx-uj.jpg,,in,,2,3,24,https://x.com/Yulia_jie/status/1795737142284685687,1783796984694087680,Yulia_jie
1795736985560342864,Wed May 29 08:40:35 +0000 2024,0,Kerugian Negara Dalam Kasus Dugaan Korupsi PT Timah Mencapai Rp 300 Triliun https://t.co/Xvcr0PWtpr #Fotografi #AdadiKompas,1795736985560342864,,,in,"Palmerah, Jakarta",0,0,0,https://x.com/hariankompas/status/1795736985560342864,255866913,hariankompas
